AFUB_007790	CADAFUBG00000782
AFUB_006310	CADAFUBG00000634
AFUB_085220	CADAFUBG00008452
AFUB_044780	CADAFUBG00004468
AFUB_090730	CADAFUBG00008987
AFUB_101990	CADAFUBG00010086
AFUB_081480	CADAFUBG00008076
AFUB_074830	CADAFUBG00007423
AFUB_073860	CADAFUBG00007326
AFUB_058450	CADAFUBG00005824
AFUB_085020	CADAFUBG00008432
AFUB_004830	CADAFUBG00000485
AFUB_011620	CADAFUBG00001167
AFUB_074230	CADAFUBG00007363
AFUB_065690	CADAFUBG00006519
AFUB_055120	CADAFUBG00005492
AFUB_021490	CADAFUBG00002143
AFUB_094610	CADAFUBG00009364
AFUB_062190	CADAFUBG00006196
AFUB_069560	CADAFUBG00006904
AFUB_039860	CADAFUBG00003973
AFUB_044010	CADAFUBG00004391
AFUB_101940	CADAFUBG00010081
AFUB_049780	CADAFUBG00004958
AFUB_000540	CADAFUBG00000054
AFUB_083160	CADAFUBG00008245
AFUB_008740	CADAFUBG00000878
AFUB_055290	CADAFUBG00005509
AFUB_100220	CADAFUBG00009918
AFUB_063870	CADAFUBG00006336
AFUB_094020	CADAFUBG00009305
AFUB_035670	CADAFUBG00003554
AFUB_005370	CADAFUBG00000539
AFUB_093820	CADAFUBG00009285
AFUB_040830	CADAFUBG00004070
AFUB_016700	CADAFUBG00001675
AFUB_080190	CADAFUBG00007947	CADAFUBG00009665
AFUB_077630	CADAFUBG00007703
AFUB_072980	CADAFUBG00007238
AFUB_022940	CADAFUBG00002288
AFUB_065480	CADAFUBG00006498
AFUB_082380	CADAFUBG00008167
AFUB_009140	CADAFUBG00000918
AFUB_009840	CADAFUBG00000989
AFUB_049530	CADAFUBG00004932	CADAFUBG00004933
AFUB_020400	CADAFUBG00002034
AFUB_101820	CADAFUBG00010069
AFUB_072430	CADAFUBG00007183
AFUB_020800	CADAFUBG00002074
AFUB_005780	CADAFUBG00000580
AFUB_047670	CADAFUBG00004757
AFUB_063550	CADAFUBG00006304
AFUB_002350	CADAFUBG00000235
AFUB_040690	CADAFUBG00004056
AFUB_002940	CADAFUBG00000294
AFUB_065500	CADAFUBG00006500
AFUB_041030	CADAFUBG00004090
AFUB_031470	CADAFUBG00003142
AFUB_085560	CADAFUBG00008487
AFUB_067760	CADAFUBG00006723
AFUB_046120	CADAFUBG00004603
AFUB_053720	CADAFUBG00005352
AFUB_052940	CADAFUBG00005274
AFUB_046110	CADAFUBG00004602
AFUB_021090	CADAFUBG00002103
AFUB_073720	CADAFUBG00007312
AFUB_024340	CADAFUBG00002428
AFUB_058910	CADAFUBG00005870
AFUB_008880	CADAFUBG00000892
AFUB_098320	CADAFUBG00009728
AFUB_065550	CADAFUBG00006505
AFUB_036650	CADAFUBG00003652
AFUB_089820	CADAFUBG00008896
AFUB_027900	CADAFUBG00002784
AFUB_031290	CADAFUBG00003124
AFUB_026380	CADAFUBG00002632
AFUB_014240	CADAFUBG00001429
AFUB_015450	CADAFUBG00001550
AFUB_002130	CADAFUBG00000213
AFUB_016150	CADAFUBG00001620
AFUB_009090	CADAFUBG00000913
AFUB_078320	CADAFUBG00007770
AFUB_056090	CADAFUBG00005588
AFUB_019450	CADAFUBG00001939
AFUB_005120	CADAFUBG00000514
AFUB_001740	CADAFUBG00000174
AFUB_040440	CADAFUBG00004031
AFUB_012380	CADAFUBG00001243
AFUB_018100	CADAFUBG00001804
AFUB_099640	CADAFUBG00009860
AFUB_057350	CADAFUBG00005714
AFUB_033210	CADAFUBG00003316
AFUB_068850	CADAFUBG00006833
AFUB_037900	CADAFUBG00003777
AFUB_012050	CADAFUBG00001210
AFUB_081070	CADAFUBG00008034
AFUB_004220	CADAFUBG00000423
AFUB_038600	CADAFUBG00003847
AFUB_014950	CADAFUBG00001500
AFUB_090480	CADAFUBG00008962
AFUB_002580	CADAFUBG00000258
AFUB_045930	CADAFUBG00004584
AFUB_045800	CADAFUBG00004571
AFUB_020240	CADAFUBG00002018
AFUB_079140	CADAFUBG00007852
AFUB_059100	CADAFUBG00005890
AFUB_021540	CADAFUBG00002148
AFUB_090430	CADAFUBG00008957
AFUB_006070	CADAFUBG00000610
AFUB_045830	CADAFUBG00004574
AFUB_090750	CADAFUBG00008989
AFUB_041740	CADAFUBG00004163
AFUB_048140	CADAFUBG00004804
AFUB_065150	CADAFUBG00006465
AFUB_055970	CADAFUBG00005576
AFUB_015120	CADAFUBG00001517
AFUB_015570	CADAFUBG00001562
AFUB_026230	CADAFUBG00002617
AFUB_037150	CADAFUBG00003702
AFUB_097220	CADAFUBG00009624
AFUB_034770	CADAFUBG00003463
AFUB_060280	CADAFUBG00006008
AFUB_073830	CADAFUBG00007323
AFUB_039090	CADAFUBG00003896
AFUB_074840	CADAFUBG00007424
AFUB_034470	CADAFUBG00003433
AFUB_008560	CADAFUBG00000860
AFUB_039570	CADAFUBG00003944
AFUB_058550	CADAFUBG00005834
AFUB_050760	CADAFUBG00005056
AFUB_010830	CADAFUBG00001088
AFUB_007870	CADAFUBG00000791
AFUB_055980	CADAFUBG00005577
AFUB_007320	CADAFUBG00000735
AFUB_095820	CADAFUBG00009484
AFUB_054940	CADAFUBG00005474
AFUB_031170	CADAFUBG00003112
AFUB_053360	CADAFUBG00005316
AFUB_037640	CADAFUBG00003751
AFUB_036760	CADAFUBG00003663
AFUB_099550	CADAFUBG00009851
AFUB_056220	CADAFUBG00005601
AFUB_039680	CADAFUBG00003955
AFUB_068420	CADAFUBG00006790
AFUB_038560	CADAFUBG00003843
AFUB_098960	CADAFUBG00009792
AFUB_084360	CADAFUBG00008365
AFUB_043410	CADAFUBG00004331
AFUB_036610	CADAFUBG00003648
AFUB_007020	CADAFUBG00000705
AFUB_098330	CADAFUBG00009729
AFUB_037740	CADAFUBG00003761
AFUB_052530	CADAFUBG00005233
AFUB_066670	CADAFUBG00006617
AFUB_058400	CADAFUBG00005819
AFUB_001460	CADAFUBG00000146
AFUB_062950	CADAFUBG00006243
AFUB_009810	CADAFUBG00000986
AFUB_039330	CADAFUBG00003920
AFUB_093830	CADAFUBG00009286
AFUB_051930	CADAFUBG00005173
AFUB_098580	CADAFUBG00009754
AFUB_012760	CADAFUBG00001281
AFUB_031440	CADAFUBG00003139
AFUB_099510	CADAFUBG00009847
AFUB_050090	CADAFUBG00004989
AFUB_096550	CADAFUBG00009557
AFUB_081250	CADAFUBG00008053
AFUB_044120	CADAFUBG00004402
AFUB_019120	CADAFUBG00001906
AFUB_035350	CADAFUBG00003522
AFUB_038430	CADAFUBG00003830
AFUB_046460	CADAFUBG00004636
AFUB_035260	CADAFUBG00003513
AFUB_007240	CADAFUBG00000727
AFUB_048200	CADAFUBG00004810
AFUB_040540	CADAFUBG00004041
AFUB_058620	CADAFUBG00005841
AFUB_042030	CADAFUBG00004192
AFUB_088310	CADAFUBG00008745
AFUB_044150	CADAFUBG00004405
AFUB_011550	CADAFUBG00001160
AFUB_062200	CADAFUBG00006197
AFUB_047040	CADAFUBG00004694
AFUB_047720	CADAFUBG00004762
AFUB_093690	CADAFUBG00009272
AFUB_066860	CADAFUBG00006633
AFUB_008970	CADAFUBG00000901
AFUB_051320	CADAFUBG00005112
AFUB_013410	CADAFUBG00001346
AFUB_002400	CADAFUBG00000240
AFUB_090810	CADAFUBG00008995
AFUB_065250	CADAFUBG00006475
AFUB_037230	CADAFUBG00003710
AFUB_024630	CADAFUBG00002457
AFUB_078200	CADAFUBG00007758
AFUB_010240	CADAFUBG00001029
AFUB_006880	CADAFUBG00000691
AFUB_015670	CADAFUBG00001572
AFUB_093150	CADAFUBG00009218
AFUB_082040	CADAFUBG00008132
AFUB_029510	CADAFUBG00002946
AFUB_083670	CADAFUBG00008296
AFUB_063520	CADAFUBG00006300
AFUB_039530	CADAFUBG00003940
AFUB_065030	CADAFUBG00006453
AFUB_074160	CADAFUBG00007356
AFUB_020880	CADAFUBG00002082
AFUB_098230	CADAFUBG00009719
AFUB_097210	CADAFUBG00009623
AFUB_067050	CADAFUBG00006652
AFUB_062420	CADAFUBG00006219
AFUB_077340	CADAFUBG00007674
AFUB_021030	CADAFUBG00002097
AFUB_015870	CADAFUBG00001592
AFUB_038970	CADAFUBG00003884
AFUB_036660	CADAFUBG00003653
AFUB_011120	CADAFUBG00001117
AFUB_064160	CADAFUBG00006365
AFUB_085390	CADAFUBG00008469
AFUB_005320	CADAFUBG00000534
AFUB_037060	CADAFUBG00003693
AFUB_063640	CADAFUBG00006313
AFUB_064090	CADAFUBG00006358
AFUB_077040	CADAFUBG00007644
AFUB_057720	CADAFUBG00005751
AFUB_041580	CADAFUBG00004146
AFUB_040460	CADAFUBG00004033
AFUB_008570	CADAFUBG00000861
AFUB_084560	CADAFUBG00008385
AFUB_000210	CADAFUBG00000021
AFUB_057940	CADAFUBG00005773
AFUB_037420	CADAFUBG00003729
AFUB_022470	CADAFUBG00002241
AFUB_041270	CADAFUBG00004115
AFUB_091930	CADAFUBG00009106
AFUB_085880	CADAFUBG00008519
AFUB_012700	CADAFUBG00001275
AFUB_086820	CADAFUBG00008594
AFUB_022090	CADAFUBG00002203
AFUB_007330	CADAFUBG00000736
AFUB_093520	CADAFUBG00009255
AFUB_046130	CADAFUBG00004604
AFUB_038510	CADAFUBG00003838
AFUB_008980	CADAFUBG00000902
AFUB_063700	CADAFUBG00006319
AFUB_098530	CADAFUBG00009749
AFUB_047500	CADAFUBG00004740
AFUB_042140	CADAFUBG00004203
AFUB_009640	CADAFUBG00000969
AFUB_035190	CADAFUBG00003506
AFUB_062500	CADAFUBG00006227
AFUB_011000	CADAFUBG00001105
AFUB_007070	CADAFUBG00000710
AFUB_096410	CADAFUBG00009543
AFUB_066530	CADAFUBG00006603
AFUB_101850	CADAFUBG00010072
AFUB_055090	CADAFUBG00005489
AFUB_008750	CADAFUBG00000879
AFUB_089340	CADAFUBG00008848
AFUB_047660	CADAFUBG00004756
AFUB_024240	CADAFUBG00002418
AFUB_022310	CADAFUBG00002225
AFUB_012060	CADAFUBG00001211
AFUB_076080	CADAFUBG00007548
AFUB_078140	CADAFUBG00007752
AFUB_076880	CADAFUBG00007628
AFUB_061730	CADAFUBG00006151
AFUB_010580	CADAFUBG00001063
AFUB_023320	CADAFUBG00002326
AFUB_015800	CADAFUBG00001585
AFUB_006790	CADAFUBG00000682
AFUB_073150	CADAFUBG00007255
AFUB_042610	CADAFUBG00004250
AFUB_065280	CADAFUBG00006478
AFUB_089150	CADAFUBG00008829
AFUB_055330	CADAFUBG00005513
AFUB_030230	CADAFUBG00003018
AFUB_067630	CADAFUBG00006710
AFUB_095110	CADAFUBG00009413
AFUB_057860	CADAFUBG00005765
AFUB_010950	CADAFUBG00001100
AFUB_043750	CADAFUBG00004365
AFUB_052570	CADAFUBG00005237
AFUB_038460	CADAFUBG00003833
AFUB_040300	CADAFUBG00004017
AFUB_063260	CADAFUBG00006274
AFUB_052280	CADAFUBG00005208
AFUB_064140	CADAFUBG00006363
AFUB_044930	CADAFUBG00004483
AFUB_072080	CADAFUBG00007157
AFUB_093810	CADAFUBG00009284
AFUB_070030	CADAFUBG00006951
AFUB_050340	CADAFUBG00005014
AFUB_044900	CADAFUBG00004480
AFUB_020430	CADAFUBG00002037
AFUB_076580	CADAFUBG00007598
AFUB_044760	CADAFUBG00004466
AFUB_082210	CADAFUBG00008150
AFUB_081820	CADAFUBG00008110
AFUB_008540	CADAFUBG00000858
AFUB_070720	CADAFUBG00007020
AFUB_075580	CADAFUBG00007498
AFUB_031870	CADAFUBG00003182
AFUB_066950	CADAFUBG00006642
AFUB_012720	CADAFUBG00001277
AFUB_002310	CADAFUBG00000231
AFUB_094660	CADAFUBG00009369
AFUB_086770	CADAFUBG00008589
AFUB_001650	CADAFUBG00000165
AFUB_021390	CADAFUBG00002133
AFUB_002720	CADAFUBG00000272
AFUB_045390	CADAFUBG00004529
AFUB_040210	CADAFUBG00004008
AFUB_073230	CADAFUBG00007263
AFUB_026340	CADAFUBG00002628
AFUB_070040	CADAFUBG00006952
AFUB_011880	CADAFUBG00001193
AFUB_043180	CADAFUBG00004308
AFUB_082660	CADAFUBG00008195
AFUB_069130	CADAFUBG00006861
AFUB_030660	CADAFUBG00003061
AFUB_088260	CADAFUBG00008740
AFUB_022440	CADAFUBG00002238
AFUB_068360	CADAFUBG00006784
AFUB_051470	CADAFUBG00005127
AFUB_062270	CADAFUBG00006204
AFUB_084020	CADAFUBG00008331
AFUB_037770	CADAFUBG00003764
AFUB_051280	CADAFUBG00005108
AFUB_064700	CADAFUBG00006420
AFUB_011560	CADAFUBG00001161
AFUB_048180	CADAFUBG00004808
AFUB_025910	CADAFUBG00002585
AFUB_007510	CADAFUBG00000754
AFUB_059870	CADAFUBG00005967
AFUB_090670	CADAFUBG00008981
AFUB_101270	CADAFUBG00010012
AFUB_031770	CADAFUBG00003172
AFUB_092400	CADAFUBG00009153
AFUB_047580	CADAFUBG00004748
AFUB_080760	CADAFUBG00008003
AFUB_002520	CADAFUBG00000252
AFUB_033110	CADAFUBG00003306
AFUB_101590	CADAFUBG00010045
AFUB_005700	CADAFUBG00000572
AFUB_042700	CADAFUBG00004259
AFUB_004840	CADAFUBG00000486
AFUB_022020	CADAFUBG00002196
AFUB_021360	CADAFUBG00002130
AFUB_074080	CADAFUBG00007348
AFUB_035950	CADAFUBG00003582
AFUB_024247	CADAFUBG00002419
AFUB_080910	CADAFUBG00008018
AFUB_037860	CADAFUBG00003773
AFUB_101060	CADAFUBG00009991
AFUB_092220	CADAFUBG00009135
AFUB_074590	CADAFUBG00007399
AFUB_078070	CADAFUBG00007746
AFUB_041400	CADAFUBG00004128
AFUB_016060	CADAFUBG00001611
AFUB_008640	CADAFUBG00000868
AFUB_011680	CADAFUBG00001173
AFUB_032120	CADAFUBG00003207	CADAFUBG00003209
AFUB_008480	CADAFUBG00000852
AFUB_029750	CADAFUBG00002970
AFUB_063230	CADAFUBG00006271
AFUB_090390	CADAFUBG00008953
AFUB_078720	CADAFUBG00007810
AFUB_045300	CADAFUBG00004520
AFUB_051630	CADAFUBG00005143
AFUB_089450	CADAFUBG00008859
AFUB_059290	CADAFUBG00005909
AFUB_092000	CADAFUBG00009113
AFUB_090840	CADAFUBG00008998
AFUB_068410	CADAFUBG00006789
AFUB_089090	CADAFUBG00008823
AFUB_041160	CADAFUBG00004103
AFUB_054250	CADAFUBG00005405
AFUB_066560	CADAFUBG00006606
AFUB_035470	CADAFUBG00003534
AFUB_078630	CADAFUBG00007801
AFUB_095000	CADAFUBG00009402
AFUB_014680	CADAFUBG00001473
AFUB_086020	CADAFUBG00008534
AFUB_058570	CADAFUBG00005836
AFUB_045140	CADAFUBG00004504
AFUB_010940	CADAFUBG00001099
AFUB_008900	CADAFUBG00000894
AFUB_092810	CADAFUBG00009193
AFUB_050850	CADAFUBG00005065
AFUB_022140	CADAFUBG00002209
AFUB_025550	CADAFUBG00002549
AFUB_018110	CADAFUBG00001805
AFUB_085840	CADAFUBG00008515
AFUB_035070	CADAFUBG00003493
AFUB_050770	CADAFUBG00005057
AFUB_072390	CADAFUBG00007179
AFUB_095170	CADAFUBG00009419
AFUB_078350	CADAFUBG00007773
AFUB_044130	CADAFUBG00004403
AFUB_091980	CADAFUBG00009111
AFUB_086110	CADAFUBG00008543
AFUB_031450	CADAFUBG00003140
AFUB_079490	CADAFUBG00007887
AFUB_098420	CADAFUBG00009738
AFUB_081910	CADAFUBG00008119
AFUB_090490	CADAFUBG00008963
AFUB_042819	CADAFUBG00004271
AFUB_028420	CADAFUBG00002836
AFUB_037930	CADAFUBG00003780
AFUB_012770	CADAFUBG00001282
AFUB_046000	CADAFUBG00004591
AFUB_016410	CADAFUBG00001646
AFUB_091430	CADAFUBG00009056
AFUB_051420	CADAFUBG00005122
AFUB_093440	CADAFUBG00009247
AFUB_057780	CADAFUBG00005757
AFUB_002060	CADAFUBG00000206
AFUB_084060	CADAFUBG00008335
AFUB_013310	CADAFUBG00001336
AFUB_091170	CADAFUBG00009030
AFUB_051500	CADAFUBG00005130
AFUB_022670	CADAFUBG00002261
AFUB_073480	CADAFUBG00007288
AFUB_093600	CADAFUBG00009263
AFUB_087630	CADAFUBG00008676
AFUB_006590	CADAFUBG00000662
AFUB_071270	CADAFUBG00007075
AFUB_087280	CADAFUBG00008640
AFUB_012990	CADAFUBG00001304
AFUB_018970	CADAFUBG00001891
AFUB_070870	CADAFUBG00007035
AFUB_069730	CADAFUBG00006921
AFUB_054440	CADAFUBG00005424
AFUB_069360	CADAFUBG00006884
AFUB_004920	CADAFUBG00000494
AFUB_090610	CADAFUBG00008975
AFUB_039250	CADAFUBG00003912
AFUB_033040	CADAFUBG00003299
AFUB_061720	CADAFUBG00006150
AFUB_067500	CADAFUBG00006697
AFUB_082690	CADAFUBG00008198
AFUB_073730	CADAFUBG00007313
AFUB_046580	CADAFUBG00004648
AFUB_095540	CADAFUBG00009456
AFUB_044470	CADAFUBG00004437
AFUB_087270	CADAFUBG00008639
AFUB_043480	CADAFUBG00004338
AFUB_091610	CADAFUBG00009074
AFUB_080510	CADAFUBG00007978
AFUB_060930	CADAFUBG00006073
AFUB_058530	CADAFUBG00005832
AFUB_030010	CADAFUBG00002996
AFUB_048750	CADAFUBG00004855
AFUB_022230	CADAFUBG00002217
AFUB_041190	CADAFUBG00004107
AFUB_085790	CADAFUBG00008510
AFUB_076030	CADAFUBG00007543
AFUB_088320	CADAFUBG00008746
AFUB_026140	CADAFUBG00002608
AFUB_039840	CADAFUBG00003971
AFUB_081390	CADAFUBG00008067
AFUB_101550	CADAFUBG00010040
AFUB_014200	CADAFUBG00001425
AFUB_063660	CADAFUBG00006315
AFUB_093350	CADAFUBG00009238
AFUB_093070	CADAFUBG00009210
AFUB_000580	CADAFUBG00000058
AFUB_101180	CADAFUBG00010003
AFUB_002100	CADAFUBG00000210
AFUB_065450	CADAFUBG00006495
AFUB_060330	CADAFUBG00006013
AFUB_008370	CADAFUBG00000841
AFUB_027130	CADAFUBG00002706
AFUB_076430	CADAFUBG00007583
AFUB_065780	CADAFUBG00006528
AFUB_049580	CADAFUBG00004938
AFUB_074060	CADAFUBG00007346
AFUB_007350	CADAFUBG00000738
AFUB_070080	CADAFUBG00006956
AFUB_011380	CADAFUBG00001143
AFUB_063760	CADAFUBG00006325
AFUB_098570	CADAFUBG00009753
AFUB_059080	CADAFUBG00005888
AFUB_003830	CADAFUBG00000384
AFUB_088940	CADAFUBG00008808
AFUB_034240	CADAFUBG00003410
AFUB_003300	CADAFUBG00000330
AFUB_009000	CADAFUBG00000904
AFUB_075660	CADAFUBG00007506
AFUB_055500	CADAFUBG00005529
AFUB_053760	CADAFUBG00005356
AFUB_014810	CADAFUBG00001486
AFUB_005790	CADAFUBG00000581
AFUB_083570	CADAFUBG00008286
AFUB_071850	CADAFUBG00007134
AFUB_054490	CADAFUBG00005429
AFUB_081670	CADAFUBG00008095
AFUB_042980	CADAFUBG00004288
AFUB_022680	CADAFUBG00002262
AFUB_015280	CADAFUBG00001533
AFUB_072860	CADAFUBG00007226
AFUB_028000	CADAFUBG00002794
AFUB_087340	CADAFUBG00008646
AFUB_018350	CADAFUBG00001829
AFUB_006470	CADAFUBG00000650
AFUB_064290	CADAFUBG00006378
AFUB_092360	CADAFUBG00009149
AFUB_036230	CADAFUBG00003610
AFUB_056660	CADAFUBG00005645	CADAFUBG00005646
AFUB_026500	CADAFUBG00002644
AFUB_049700	CADAFUBG00004950
AFUB_101870	CADAFUBG00010074
AFUB_095400	CADAFUBG00009442
AFUB_059220	CADAFUBG00005902
AFUB_059120	CADAFUBG00005892
AFUB_048730	CADAFUBG00004853
AFUB_046830	CADAFUBG00004673
AFUB_070050	CADAFUBG00006953
AFUB_099710	CADAFUBG00009867
AFUB_092740	CADAFUBG00009186
AFUB_055060	CADAFUBG00005486
AFUB_028090	CADAFUBG00002803
AFUB_094760	CADAFUBG00009379
AFUB_086340	CADAFUBG00008566
AFUB_038670	CADAFUBG00003854
AFUB_018770	CADAFUBG00001871
AFUB_072800	CADAFUBG00007220
AFUB_031990	CADAFUBG00003194
AFUB_096640	CADAFUBG00009566
AFUB_085380	CADAFUBG00008468
AFUB_049810	CADAFUBG00004961
AFUB_071490	CADAFUBG00007097
AFUB_099460	CADAFUBG00009842
AFUB_094260	CADAFUBG00009329
AFUB_065470	CADAFUBG00006497
AFUB_055030	CADAFUBG00005483
AFUB_055280	CADAFUBG00005508
AFUB_004430	CADAFUBG00000444
AFUB_088870	CADAFUBG00008801
AFUB_014700	CADAFUBG00001475
AFUB_031660	CADAFUBG00003161
AFUB_094730	CADAFUBG00009376
AFUB_066210	CADAFUBG00006571
AFUB_099430	CADAFUBG00009839
AFUB_005070	CADAFUBG00000509
AFUB_098940	CADAFUBG00009790
AFUB_061980	CADAFUBG00006176
AFUB_013170	CADAFUBG00001322
AFUB_011400	CADAFUBG00001145
AFUB_021100	CADAFUBG00002104
AFUB_001160	CADAFUBG00000116
AFUB_024320	CADAFUBG00002426
AFUB_086210	CADAFUBG00008553
AFUB_068690	CADAFUBG00006817
AFUB_010120	CADAFUBG00001017
AFUB_088970	CADAFUBG00008811
AFUB_043290	CADAFUBG00004319
AFUB_048190	CADAFUBG00004809
AFUB_065900	CADAFUBG00006540
AFUB_029670	CADAFUBG00002962
AFUB_081920	CADAFUBG00008120
AFUB_065850	CADAFUBG00006535
AFUB_030950	CADAFUBG00003090
AFUB_015060	CADAFUBG00001511
AFUB_027540	CADAFUBG00002747
AFUB_018630	CADAFUBG00001857
AFUB_082860	CADAFUBG00008215
AFUB_076890	CADAFUBG00007629
AFUB_033180	CADAFUBG00003313
AFUB_026270	CADAFUBG00002621
AFUB_013500	CADAFUBG00001355
AFUB_094210	CADAFUBG00009324
AFUB_052690	CADAFUBG00005249
AFUB_035820	CADAFUBG00003569
AFUB_026170	CADAFUBG00002611
AFUB_021240	CADAFUBG00002118
AFUB_053330	CADAFUBG00005313
AFUB_085150	CADAFUBG00008445
AFUB_060870	CADAFUBG00006067
AFUB_049640	CADAFUBG00004944
AFUB_006050	CADAFUBG00000608
AFUB_056570	CADAFUBG00005636
AFUB_072650	CADAFUBG00007205
AFUB_038340	CADAFUBG00003821
AFUB_070200	CADAFUBG00006968
AFUB_004960	CADAFUBG00000498
AFUB_065510	CADAFUBG00006501
AFUB_056070	CADAFUBG00005586
AFUB_076670	CADAFUBG00007607
AFUB_071790	CADAFUBG00007128
AFUB_058929	CADAFUBG00005872
AFUB_076540	CADAFUBG00007594
AFUB_038010	CADAFUBG00003788
AFUB_062020	CADAFUBG00006180
AFUB_068320	CADAFUBG00006780
AFUB_048500	CADAFUBG00004840
AFUB_019380	CADAFUBG00001932
AFUB_073100	CADAFUBG00007250
AFUB_041710	CADAFUBG00004160
AFUB_006030	CADAFUBG00000606
AFUB_007490	CADAFUBG00000752
AFUB_078770	CADAFUBG00007815
AFUB_036680	CADAFUBG00003655
AFUB_060840	CADAFUBG00006064
AFUB_045340	CADAFUBG00004524
AFUB_032500	CADAFUBG00003245
AFUB_010920	CADAFUBG00001097
AFUB_051450	CADAFUBG00005125
AFUB_020810	CADAFUBG00002075
AFUB_098010	CADAFUBG00007949	CADAFUBG00009669	CADAFUBG00009706
AFUB_006140	CADAFUBG00000617
AFUB_084720	CADAFUBG00008401
AFUB_076720	CADAFUBG00007612
AFUB_079550	CADAFUBG00007892
AFUB_082220	CADAFUBG00008151
AFUB_014570	CADAFUBG00001462
AFUB_003910	CADAFUBG00000392
AFUB_086780	CADAFUBG00008590
AFUB_092610	CADAFUBG00009173
AFUB_049170	CADAFUBG00004897
AFUB_098930	CADAFUBG00009789
AFUB_036670	CADAFUBG00003654
AFUB_038470	CADAFUBG00003834
AFUB_041120	CADAFUBG00004098	CADAFUBG00004099
AFUB_065590	CADAFUBG00006509
AFUB_059620	CADAFUBG00005942
AFUB_035310	CADAFUBG00003518
AFUB_068000	CADAFUBG00006748
AFUB_002950	CADAFUBG00000295
AFUB_018810	CADAFUBG00001875
AFUB_076060	CADAFUBG00007546
AFUB_087330	CADAFUBG00008645
AFUB_071470	CADAFUBG00007095
AFUB_062280	CADAFUBG00006205
AFUB_059490	CADAFUBG00005929
AFUB_077130	CADAFUBG00007653
AFUB_022010	CADAFUBG00002195
AFUB_051900	CADAFUBG00005170
AFUB_074410	CADAFUBG00007381
AFUB_089720	CADAFUBG00008886
AFUB_058430	CADAFUBG00005822
AFUB_016020	CADAFUBG00001607
AFUB_027600	CADAFUBG00002753
AFUB_012280	CADAFUBG00001233
AFUB_079270	CADAFUBG00007865
AFUB_015810	CADAFUBG00001586
AFUB_077140	CADAFUBG00007654
AFUB_032740	CADAFUBG00003269
AFUB_002200	CADAFUBG00000220
AFUB_067410	CADAFUBG00006688
